model_key,sample_size,outer_fold,projected,raw,delta_nRMSE,relative_change_percent,projection_improved
adaboost_regressor,500,0,0.5236224031921294,0.5064178700960763,0.017204533096053076,3.397299762109318,False
adaboost_regressor,500,1,0.5888510941499245,0.5707252468014999,0.018125847348424595,3.1759322809016757,False
adaboost_regressor,500,2,0.5713389176915243,0.559749436970646,0.011589480720878287,2.0704765302847554,False
adaboost_regressor,500,3,0.5443361636972216,0.5291949094708562,0.015141254226365364,2.861186673451783,False
adaboost_regressor,500,4,0.6404591321129742,0.5822745544751172,0.058184577637857005,9.992636152597571,False
adaboost_regressor,1450,0,0.5760183483826338,0.5563118838267322,0.019706464555901526,3.542341109153667,False
adaboost_regressor,1450,1,0.5638636587935895,0.5439330547445812,0.01993060404900826,3.664164895874406,False
adaboost_regressor,1450,2,0.6722559059600571,0.5090093540232736,0.1632465519367835,32.07142474818239,False
adaboost_regressor,1450,3,0.5205029607347248,0.5040983652597174,0.01640459547500739,3.2542449262963884,False
adaboost_regressor,1450,4,0.550096953861819,0.5075146665047624,0.0425822873570566,8.390356016766862,False
adaboost_regressor,2400,0,0.541602285494532,0.5187754167686044,0.02282686872592765,4.400144646042353,False
adaboost_regressor,2400,1,0.6045305474961522,0.5791159382385956,0.025414609257556564,4.388518356938357,False
adaboost_regressor,2400,2,0.7210816482340359,0.5218620499424511,0.19921959829158475,38.17476252844097,False
adaboost_regressor,2400,3,0.5498575683985514,0.5155662406974447,0.034291327701106655,6.651197265111508,False
adaboost_regressor,2400,4,0.5373813465227643,0.5086525774617161,0.028728769061048154,5.648014053995516,False
adaboost_regressor,3350,0,0.5682113737908385,0.5293615333571098,0.038849840433728744,7.338999527855844,False
adaboost_regressor,3350,1,0.5764222421526758,0.5566711067315201,0.019751135421155697,3.548079859420758,False
adaboost_regressor,3350,2,0.6924298790021838,0.5131886129435612,0.17924126605862256,34.926976463979905,False
adaboost_regressor,3350,3,0.553599330063231,0.5219737629888195,0.031625567074411554,6.058842286118692,False
adaboost_regressor,3350,4,0.5394661394237994,0.505740732759741,0.03372540666405843,6.66851698498253,False
adaboost_regressor,4300,0,0.5623350962912083,0.5244162723859763,0.037918823905231935,7.230672635826077,False
adaboost_regressor,4300,1,0.5575806385802247,0.5380935182561468,0.019487120324077845,3.6215118121533396,False
adaboost_regressor,4300,2,0.6563966253313794,0.5121277011741516,0.1442689241572278,28.17049806649073,False
adaboost_regressor,4300,3,0.5778603198267516,0.5489986585820827,0.028861661244668824,5.257146040977733,False
adaboost_regressor,4300,4,0.553498884326731,0.5215322592552734,0.031966625071457644,6.129366784924229,False
adaboost_regressor,5250,0,0.5616304890095124,0.5277017430824794,0.03392874592703299,6.429530766535662,False
adaboost_regressor,5250,1,0.5546095652427199,0.5342513077962239,0.020358257446495998,3.8106144335843384,False
adaboost_regressor,5250,2,0.6676219797185466,0.522124805635307,0.1454971740832396,27.86635925221033,False
adaboost_regressor,5250,3,0.5536757145226212,0.5226551963548511,0.031020518167770073,5.935178370772196,False
adaboost_regressor,5250,4,0.5872201079229967,0.5245834292334964,0.06263667868950029,11.940270164656724,False
adaboost_regressor,6200,0,0.5612987044338289,0.5300370127333431,0.03126169170048576,5.898020506015726,False
adaboost_regressor,6200,1,0.5548577727902608,0.5347673109879,0.02009046180236085,3.756860486712777,False
adaboost_regressor,6200,2,0.6316159511884722,0.5189185411380203,0.11269741005045197,21.71774587265655,False
adaboost_regressor,6200,3,0.5508704656868072,0.5212044176846597,0.02966604800214745,5.691825893175001,False
adaboost_regressor,6200,4,0.6319686552076286,0.5190813857557554,0.11288726945187322,21.747508685466585,False
