model_key,nRMSE_500,nRMSE_10000,relative_reduction_percent,stabilization_size_within_5pct
xgboost_regressor,0.43527065075766175,0.25401155882932547,41.64284718320069,8100
lightgbm_regressor,0.4385979588032985,0.2491121475270699,43.20262041192235,8100
catboost_regressor,0.49264739417382974,0.23031517410732033,53.24948901971578,8100
adaboost_regressor,0.5496724035628391,0.5250348334195658,4.4822279567936665,500
random_forest_regressor,0.8154189131636322,0.718432489967141,11.894061031796143,3350
extra_trees_regressor,0.7109990985639527,0.5632222090621035,20.78439899576849,6200
svr_regressor,0.5110344011435466,0.36426145463307325,28.72075660308545,7150
knn_regressor,0.747295722124871,0.6068283952007949,18.79675244556056,5250
pls_regressor,0.7439150472321538,0.7211414676567844,3.0613145493026233,500
multitask_elastic_net_regressor,0.5515032179087024,0.5361093457040409,2.7912570053598196,500
multitask_lasso_regressor,0.5514868090335903,0.5361071320453383,2.788766065901529,500
ann_deep_regressor,0.5244443383828333,0.15032939644891616,71.33549064282607,9050
