model_key,sample_size,folds,raw_mass_violation_rate,projected_mass_violation_rate,raw_nonnegative_violation_rate,projected_nonnegative_violation_rate,raw_conservation_l2_mean,projected_conservation_l2_mean,standardized_displacement_l2_mean,backtracking_active_mean
adaboost_regressor,10000,5,1.0,0.0,0.0,0.0,5.430765722147224,4.173477639445007e-14,0.9008139190536261,0.003
adaboost_regressor,1450,5,1.0,0.0,0.0,0.0,5.086303525308994,4.2721239216243755e-14,0.9038070932401379,0.002758620689655172
adaboost_regressor,2400,5,1.0,0.0,0.0,0.0,5.2735941364398995,4.1601002323050364e-14,0.9224772523406894,0.00375
adaboost_regressor,3350,5,1.0,0.0,0.0,0.0,5.311202399573255,4.136688695007555e-14,0.9013641822095664,0.003880597014925373
adaboost_regressor,4300,5,1.0,0.0,0.0,0.0,5.3644869676313105,4.1975004483205424e-14,0.8977230759892834,0.0032558139534883722
adaboost_regressor,500,5,1.0,0.0,0.0,0.0,5.031293296370532,4.0845569893729266e-14,0.9384744971978201,0.002
adaboost_regressor,5250,5,1.0,0.0,0.0,0.0,5.371938416752433,4.2138350913525255e-14,0.907551748621841,0.003238095238095238
adaboost_regressor,6200,5,1.0,0.0,0.0,0.0,5.402667562575273,4.1899574606320496e-14,0.9093293322115599,0.0032258064516129032
adaboost_regressor,7150,5,1.0,0.0,0.0,0.0,5.426130141509367,4.1838890029811356e-14,0.9035055799580984,0.002797202797202797
adaboost_regressor,8100,5,1.0,0.0,0.0,0.0,5.423114531135274,4.1955006728863965e-14,0.906150114691856,0.002839506172839506
adaboost_regressor,9050,5,1.0,0.0,0.0,0.0,5.4123158408121474,4.184504150067759e-14,0.9037556908187803,0.00287292817679558
catboost_regressor,10000,5,1.0,0.0,0.5906,0.0,1.0060259587716183,4.2132729569974995e-14,0.24177769433288948,0.0
catboost_regressor,1450,5,1.0,0.0,0.4324137931034483,0.0,2.090099632375678,4.289907009163261e-14,0.44906611662522333,0.000689655172413793
catboost_regressor,2400,5,1.0,0.0,0.51375,0.0,1.6811280472412207,4.225874160028171e-14,0.3678707340629034,0.00041666666666666664
catboost_regressor,3350,5,1.0,0.0,0.526865671641791,0.0,1.4510982898888727,4.2439740594008087e-14,0.3303998755805623,0.0005970149253731343
catboost_regressor,4300,5,1.0,0.0,0.5446511627906977,0.0,1.3043603750534247,4.304536842734952e-14,0.2987720542669116,0.0004651162790697674
catboost_regressor,500,5,1.0,0.0,0.128,0.0,4.199857950427491,4.277027344430315e-14,0.777939091931209,0.002
catboost_regressor,5250,5,1.0,0.0,0.564952380952381,0.0,1.2235523566367585,4.1902357153262334e-14,0.2854113822367605,0.00019047619047619048
catboost_regressor,6200,5,1.0,0.0,0.577258064516129,0.0,1.1660402241486987,4.203638327816116e-14,0.27578352717128424,0.0003225806451612903
catboost_regressor,7150,5,1.0,0.0,0.5904895104895105,0.0,1.1196426655756215,4.2399436198767163e-14,0.2659430924042191,0.00013986013986013986
catboost_regressor,8100,5,1.0,0.0,0.585925925925926,0.0,1.07246902571176,4.216949511841027e-14,0.255929075319231,0.0
catboost_regressor,9050,5,1.0,0.0,0.5859668508287292,0.0,1.0455248039027254,4.263176987112868e-14,0.25220381088094096,0.00011049723756906079
extra_trees_regressor,10000,5,1.0,0.0,0.0,0.0,24.133792323422888,4.2199252239762725e-14,1.5277039491290023,0.008799999999999999
extra_trees_regressor,1450,5,1.0,0.0,0.0,0.0,32.574371104102525,4.1741602734456945e-14,1.786328959147007,0.013103448275862068
extra_trees_regressor,2400,5,1.0,0.0,0.0,0.0,30.563312810552656,4.2819561373076207e-14,1.7303734685439491,0.012916666666666665
extra_trees_regressor,3350,5,1.0,0.0,0.0,0.0,28.746196446152574,4.256629389782435e-14,1.6931871721197012,0.012238805970149255
extra_trees_regressor,4300,5,1.0,0.0,0.0,0.0,27.750755166173224,4.2356665607697196e-14,1.652971497346731,0.010930232558139536
extra_trees_regressor,500,5,1.0,0.0,0.0,0.0,37.516323135846065,4.198912009892287e-14,2.065541705321067,0.02
extra_trees_regressor,5250,5,1.0,0.0,0.0,0.0,26.95555705302297,4.2404114732787585e-14,1.6193387954837353,0.010095238095238096
extra_trees_regressor,6200,5,1.0,0.0,0.0,0.0,26.06780205548183,4.24100675560071e-14,1.5997408819726742,0.01
extra_trees_regressor,7150,5,1.0,0.0,0.0,0.0,25.653927904970722,4.1855448063640814e-14,1.576967821594767,0.008811188811188812
extra_trees_regressor,8100,5,1.0,0.0,0.0,0.0,25.014328556407534,4.2230460780887395e-14,1.555071817502025,0.009012345679012346
extra_trees_regressor,9050,5,1.0,0.0,0.0,0.0,24.47196660708186,4.2529448190231114e-14,1.539728892463009,0.008729281767955802
knn_regressor,10000,5,1.0,0.0,0.0,0.0,23.997821382321938,4.218027786335457e-14,1.1916732600155036,0.0025
knn_regressor,1450,5,1.0,0.0,0.0,0.0,28.55864142216196,4.265127021547335e-14,1.4269646837144934,0.002758620689655172
knn_regressor,2400,5,1.0,0.0,0.0,0.0,27.429065740716748,4.2231305458817077e-14,1.3613343093612555,0.00375
knn_regressor,3350,5,1.0,0.0,0.0,0.0,26.683124565529273,4.2380703799971334e-14,1.307285906288636,0.003880597014925373
knn_regressor,4300,5,1.0,0.0,0.0,0.0,26.10576228121347,4.2266071875169104e-14,1.2744252418489357,0.0030232558139534882
knn_regressor,500,5,1.0,0.0,0.0,0.0,32.31429225498187,4.1393755783371916e-14,1.6285952986702852,0.01
knn_regressor,5250,5,1.0,0.0,0.0,0.0,25.466222896448482,4.280359506847637e-14,1.2567927827007483,0.003428571428571429
knn_regressor,6200,5,1.0,0.0,0.0,0.0,25.10985341076508,4.2110661319451985e-14,1.2417928590847471,0.003064516129032258
knn_regressor,7150,5,1.0,0.0,0.0,0.0,24.778609367066444,4.194638861614298e-14,1.219702100640367,0.0022377622377622378
knn_regressor,8100,5,1.0,0.0,0.0,0.0,24.370462383355665,4.2219012860202176e-14,1.2107425011033286,0.0025925925925925925
knn_regressor,9050,5,1.0,0.0,0.0,0.0,24.20260213438819,4.2490994228806494e-14,1.2023755875159745,0.002430939226519337
