model_key,component,projected,raw,delta_component_nRMSE
adaboost_regressor,S_A,0.6004317239602189,0.5965985603750144,0.0038331635852045798
adaboost_regressor,S_ALK,0.016354351341234523,0.07572357106259471,-0.05936921972136019
adaboost_regressor,S_F,1.1470742957003668,0.7630481746188543,0.38402612108151246
adaboost_regressor,S_I,1.6172394685773636e-13,0.08239143376757489,-0.08239143376741317
adaboost_regressor,S_N2,0.6795528543231293,0.7017594936267192,-0.022206639303589903
adaboost_regressor,S_NH4,0.47132227928388304,0.42325865699721044,0.0480636222866726
adaboost_regressor,S_NO2,0.8671748604502678,0.8812610305323074,-0.014086170082039606
adaboost_regressor,S_NO3,0.49894631522834426,0.48250825463705294,0.016438060591291326
adaboost_regressor,S_O,0.42926670373109943,0.42815558058578895,0.0011111231453104775
adaboost_regressor,S_PO4,0.5235915139931099,0.6035046500344855,-0.07991313604137562
adaboost_regressor,X_AOB,0.44649375300200395,0.4484917025144459,-0.0019979495124419766
adaboost_regressor,X_H,0.9545637846239755,0.5094289776269705,0.44513480699700503
adaboost_regressor,X_I,0.1597966874902928,0.1305118624332276,0.0292848250570652
adaboost_regressor,X_MeOH,0.6610726780482172,0.6750885357919011,-0.014015857743683857
adaboost_regressor,X_MeP,0.3950265538296109,0.5286706323134769,-0.133644078483866
adaboost_regressor,X_NOB,0.311386225961012,0.3141514856724023,-0.0027652597113903
adaboost_regressor,X_PAO,0.2388312615803863,0.22034576600958689,0.018485495570799426
adaboost_regressor,X_PHA,0.6596361287174544,0.6591149981115024,0.0005211306059519361
adaboost_regressor,X_PP,0.6426488823707854,0.6276582963635571,0.014990586007228357
adaboost_regressor,X_S,0.38832283082185465,0.37463637175974507,0.01368645906210958
ann_deep_regressor,S_A,0.10552954501420295,0.1088007348028209,-0.0032711897886179564
ann_deep_regressor,S_ALK,0.002016446197337999,0.06302536140966364,-0.06100891521232564
ann_deep_regressor,S_F,0.4521670336680512,0.45272225511054864,-0.0005552214424974222
ann_deep_regressor,S_I,1.490625563585048e-13,0.05899233721378969,-0.05899233721364063
ann_deep_regressor,S_N2,0.12902581182828463,0.12971913853991823,-0.0006933267116336073
ann_deep_regressor,S_NH4,0.06994020326040219,0.07884099117115591,-0.008900787910753716
ann_deep_regressor,S_NO2,0.14559666900983087,0.1529999972214338,-0.007403328211602916
ann_deep_regressor,S_NO3,0.07440227812689126,0.08144864634192119,-0.007046368215029922
ann_deep_regressor,S_O,0.09019659447580577,0.09055236523810864,-0.000355770762302865
ann_deep_regressor,S_PO4,0.11774433804977251,0.13047053393572597,-0.012726195885953459
ann_deep_regressor,X_AOB,0.08034696665788246,0.08035000946264809,-3.0428047656239077e-06
ann_deep_regressor,X_H,0.15704800135237346,0.09214190899614191,0.06490609235623154
ann_deep_regressor,X_I,0.0647698480895432,0.06139462951234481,0.0033752185771983856
ann_deep_regressor,X_MeOH,0.18241396560082052,0.18892586964613184,-0.006511904045311323
ann_deep_regressor,X_MeP,0.10901019939065723,0.12503999770605606,-0.01602979831539883
ann_deep_regressor,X_NOB,0.08852195113624457,0.08862349563021202,-0.00010154449396744536
ann_deep_regressor,X_PAO,0.09344250519504797,0.09143304395846086,0.002009461236587115
ann_deep_regressor,X_PHA,0.16374185795641258,0.16632681999313542,-0.002584962036722843
ann_deep_regressor,X_PP,0.1432601473970089,0.1523814042367293,-0.009121256839720399
ann_deep_regressor,X_S,0.08803382371117281,0.08803989199266585,-6.068281493035177e-06
catboost_regressor,S_A,0.23443657638411336,0.23669162496120322,-0.0022550485770898576
catboost_regressor,S_ALK,0.0036035889829635383,0.010363420026389646,-0.006759831043426107
catboost_regressor,S_F,0.4792328282907752,0.4792377611901144,-4.932899339227248e-06
catboost_regressor,S_I,1.4916514800830167e-13,0.007233770806930112,-0.007233770806780946
catboost_regressor,S_N2,0.33861905617905164,0.3505015108109418,-0.011882454631890138
catboost_regressor,S_NH4,0.1126347557957678,0.10579624986607443,0.0068385059296933726
catboost_regressor,S_NO2,0.4206520665672476,0.43462947658838474,-0.013977410021137171
catboost_regressor,S_NO3,0.16790134321610656,0.17406402365833978,-0.006162680442233226
catboost_regressor,S_O,0.10056177039750178,0.10078876620832691,-0.00022699581082513687
catboost_regressor,S_PO4,0.22434920459138671,0.24596082601101657,-0.021611621419629856
catboost_regressor,X_AOB,0.08393116047780287,0.08426755243748765,-0.0003363919596847814
catboost_regressor,X_H,0.20083034579341713,0.09345999721317012,0.10737034858024701
catboost_regressor,X_I,0.029639878288079218,0.0144968378712305,0.015143040416848719
catboost_regressor,X_MeOH,0.3090588789296645,0.3162566656256953,-0.007197786696030828
catboost_regressor,X_MeP,0.18467045045814218,0.19464305373423146,-0.009972603276089287
catboost_regressor,X_NOB,0.09984787060875666,0.10006795299204185,-0.0002200823832851917
catboost_regressor,X_PAO,0.09610793634094231,0.09339488551914009,0.002713050821802218
catboost_regressor,X_PHA,0.2926869428255334,0.2951368630367326,-0.0024499202111991636
catboost_regressor,X_PP,0.2817528213869519,0.28619885341942314,-0.004446032032471237
catboost_regressor,X_S,0.08597942545145731,0.08597942545147046,-1.314226505400029e-14
extra_trees_regressor,S_A,0.5168356666889895,0.5026130975940729,0.014222569094916593
extra_trees_regressor,S_ALK,0.009942983719858934,0.4975942447772793,-0.4876512610574204
extra_trees_regressor,S_F,1.678598817782018,0.7619633669553649,0.916635450826653
extra_trees_regressor,S_I,1.596273295353e-13,0.4850542423443157,-0.48505424234415606
extra_trees_regressor,S_N2,0.5419324269240686,0.5591188016139164,-0.01718637468984774
extra_trees_regressor,S_NH4,0.3076290815051394,0.434367338169504,-0.1267382566643646
extra_trees_regressor,S_NO2,0.5813044146605606,0.594901327374533,-0.013596912713972453
extra_trees_regressor,S_NO3,0.3684333608587687,0.37874571141146873,-0.010312350552700023
extra_trees_regressor,S_O,0.3445720398478561,0.3409012467625244,0.0036707930853316917
extra_trees_regressor,S_PO4,0.4179421043670456,0.6631466003789248,-0.2452044960118792
extra_trees_regressor,X_AOB,0.5561172751138149,0.5566312604284406,-0.0005139853146256534
extra_trees_regressor,X_H,0.913601562861591,0.6934697187279519,0.22013184413363907
extra_trees_regressor,X_I,0.5075862894245631,0.5015027253179791,0.00608356410658395
extra_trees_regressor,X_MeOH,0.5978627925916464,0.6999198580478805,-0.10205706545623405
extra_trees_regressor,X_MeP,0.3572222846105528,0.8027226772907442,-0.4455003926801914
extra_trees_regressor,X_NOB,0.5111053474846281,0.511205597773257,-0.00010025028862892249
extra_trees_regressor,X_PAO,0.41282284119652574,0.4024890144170099,0.010333826779515831
extra_trees_regressor,X_PHA,0.6200040397008444,0.6190079978781119,0.0009960418227324963
