model_key,sample_size,folds,setup_seconds_mean,setup_seconds_sd,raw_latency_ms_mean,projection_latency_ms_mean,end_to_end_latency_ms_mean
adaboost_regressor,10000,5,18.547623000014575,6.043185425289957,1.0309734570910223,0.09012414061544405,1.1101032032001967
adaboost_regressor,1450,5,5.90324511998333,1.5751979864120669,1.042793456963409,0.07268039066730125,1.126759824273904
adaboost_regressor,2400,5,6.721789400000125,1.8611205813717078,1.05207306628472,0.09050392577591992,1.1489212108699576
adaboost_regressor,3350,5,7.137683020019904,2.0425181091580815,1.0355725585213804,0.0932096875658317,1.1192414454399113
adaboost_regressor,4300,5,7.971105940034613,2.611924545671345,1.0497961328837846,0.08936164063015894,1.1461334961040848
adaboost_regressor,500,5,4.438945840066299,1.13373186497251,1.018856562586734,0.09267074215131288,1.1892355467807647
adaboost_regressor,5250,5,10.12558556003496,3.1778965134490202,1.054494023492225,0.08619998047834088,1.1418340038744645
adaboost_regressor,6200,5,11.314039639942347,3.5273242575889743,1.0136640235032246,0.09908023430398316,1.0954840039175906
adaboost_regressor,7150,5,12.696787739964202,4.554200130472308,1.02712437496848,0.08425654286838835,1.1045329102216783
adaboost_regressor,8100,5,15.112990740034729,4.644700704550694,1.0404155664218706,0.08746326175241848,1.1229770899262803
adaboost_regressor,9050,5,17.702982099959627,5.998684744900742,1.0333095116948243,0.09541548824927304,1.1271744531313743
catboost_regressor,10000,5,33.30343276001513,5.027976098665124,0.06769437495677266,0.12349273447398446,0.19971339843323221
catboost_regressor,1450,5,29.15075813997537,2.7420244583618,0.06641710947405954,0.12072380854988296,0.19562210941330704
catboost_regressor,2400,5,30.144286719942464,1.3822037699297878,0.0692839649218513,0.12077728511030728,0.19622281251940876
catboost_regressor,3350,5,31.086163260089233,1.563196696794672,0.0673277930218319,0.11796457029049634,0.19428841796980123
catboost_regressor,4300,5,30.703892719978466,2.3804171288872977,0.06711449218528287,0.12513009751273785,0.1904837694382877
catboost_regressor,500,5,30.591502700001,3.762221193774185,0.06590736334146641,0.12424042979546357,0.19231349610890902
catboost_regressor,5250,5,30.906675960030405,3.1287591477997685,0.06746218759872136,0.12302179684411385,0.1925343749462627
catboost_regressor,6200,5,31.326991939917207,2.9913477113281832,0.06564267582689354,0.12282064453756902,0.19241427726228721
