model_key,sample_size,prediction_type,folds,nRMSE_mean,nRMSE_sd,nMAE_mean,macro_R2_mean
adaboost_regressor,10000,raw,5,0.5250348334195658,0.00425433109260738,0.36899799362392205,0.7238981386735274
adaboost_regressor,10000,projected,5,0.5811847306192451,0.028144888762996936,0.3724168896719558,0.6597030972020491
adaboost_regressor,1450,raw,5,0.5241734648718134,0.024154682828378814,0.351429584054202,0.7267567405405007
adaboost_regressor,1450,projected,5,0.5765475655465648,0.0573626197384722,0.3528541147276838,0.577732726385548
adaboost_regressor,2400,raw,5,0.5287944446217624,0.028554211277399037,0.3597484693830409,0.71836415736659
adaboost_regressor,2400,projected,5,0.5908906792292072,0.07764026829685408,0.36277702180454385,0.5931936478218003
adaboost_regressor,3350,raw,5,0.5253871497561503,0.019627269928804706,0.36305490465595264,0.7225160080382673
adaboost_regressor,3350,projected,5,0.5860257928865458,0.061136503167752536,0.366275485406406,0.6140097737670406
adaboost_regressor,4300,raw,5,0.5290336819307262,0.014526569840588983,0.36401752472757704,0.7174233022395506
adaboost_regressor,4300,projected,5,0.5815343128712589,0.04285509810621072,0.36676853587375113,0.621459760866072
adaboost_regressor,500,raw,5,0.5496724035628391,0.031216788289937576,0.3530434937988789,0.6964018616089157
adaboost_regressor,500,projected,5,0.5737215421687548,0.044894070733861036,0.3535434983286584,0.6738463934604029
adaboost_regressor,5250,raw,5,0.5262632964204716,0.004971038633094901,0.3659357182333074,0.722403743363686
adaboost_regressor,5250,projected,5,0.5849515712832793,0.04817217068608703,0.36916757591240257,0.6341117170072215
adaboost_regressor,6200,raw,5,0.5248017336599358,0.007193675956645055,0.36658726061535063,0.7236938294708561
adaboost_regressor,6200,projected,5,0.5861223098613996,0.04185670186842277,0.3697666636142922,0.6341344468273459
adaboost_regressor,7150,raw,5,0.5247675183546912,0.005505014483872472,0.36686688491833686,0.7237785085362572
adaboost_regressor,7150,projected,5,0.582048334336922,0.03665005899874173,0.3700242673693454,0.6433787598596937
adaboost_regressor,8100,raw,5,0.5244500782080476,0.004219737550390304,0.3675834414667002,0.7237096633834029
adaboost_regressor,8100,projected,5,0.587094722351019,0.036990181731941366,0.3711949534479285,0.648677690641867
adaboost_regressor,9050,raw,5,0.5251687061631289,0.005968562659035106,0.36763517386905525,0.7235069982739885
adaboost_regressor,9050,projected,5,0.5860756010553629,0.03657065810031582,0.37151044759827856,0.6534250839122331
catboost_regressor,10000,raw,5,0.23031517410732033,0.005504936373294559,0.11293531965941213,0.9468738076730139
catboost_regressor,10000,projected,5,0.22903583074686207,0.0055005278023672775,0.11128072384429791,0.9474677044183052
catboost_regressor,1450,raw,5,0.3513948065361606,0.025163540033112202,0.17414864891300627,0.8786711848368594
catboost_regressor,1450,projected,5,0.3863841830361527,0.07049207245655205,0.17526018695713466,0.7772348443730429
catboost_regressor,2400,raw,5,0.31833648136859694,0.035319004459123754,0.15384252545627486,0.9000372727644684
catboost_regressor,2400,projected,5,0.34392017329395336,0.0626683728115655,0.15391528873687393,0.8616202034793418
catboost_regressor,3350,raw,5,0.2882940325813526,0.019362280894583545,0.14233455539516052,0.9172505169507017
catboost_regressor,3350,projected,5,0.30815655811792725,0.042041677770058974,0.14250027029740625,0.8924607903025172
catboost_regressor,4300,raw,5,0.2766263757344628,0.013496210505926282,0.13389262259464002,0.9236339153095455
catboost_regressor,4300,projected,5,0.2853429715817867,0.011621763922158728,0.13324109136865198,0.912946935718667
catboost_regressor,500,raw,5,0.49264739417382974,0.03696609447172382,0.2670142668660571,0.7663886138065933
catboost_regressor,500,projected,5,0.5179096893783794,0.07741288987133654,0.2664662498656764,0.7515729602505565
catboost_regressor,5250,raw,5,0.26179152356665025,0.00857836884072221,0.12848578069382874,0.9314014419645213
catboost_regressor,5250,projected,5,0.27223996436052805,0.020532723141829776,0.12754489903001304,0.9207746952956869
catboost_regressor,6200,raw,5,0.2562497770102946,0.012526056438568292,0.12364405010840551,0.934448525302302
catboost_regressor,6200,projected,5,0.2650865322235594,0.020208161572317328,0.12272224839852926,0.9234533373262834
catboost_regressor,7150,raw,5,0.24720113843547614,0.008975458792527112,0.12022378544497084,0.9393851414608771
catboost_regressor,7150,projected,5,0.25567412353288616,0.01574284595234563,0.11890962450597489,0.9300887896229982
catboost_regressor,8100,raw,5,0.2378030625997492,0.004545807183348062,0.11726376229059787,0.9435378966378044
catboost_regressor,8100,projected,5,0.23667531749494727,0.004885582541963643,0.1158383088081805,0.9440687743208729
catboost_regressor,9050,raw,5,0.2324391482923161,0.00698606251579079,0.11502301825912449,0.9456703463336394
catboost_regressor,9050,projected,5,0.23833222773754378,0.023097240428400834,0.11349649499590533,0.9419058499291528
extra_trees_regressor,10000,raw,5,0.5632222090621035,0.005418500840372639,0.3865522599753645,0.6828501277449572
extra_trees_regressor,10000,projected,5,0.6076919246950778,0.025315683803019007,0.32416284026911296,0.6274169939625582
extra_trees_regressor,1450,raw,5,0.6535052762526316,0.026743621047371383,0.46116552732788596,0.5798063408421715
extra_trees_regressor,1450,projected,5,0.6912717699292162,0.0830019410384729,0.3850113991276684,0.35893794002457824
extra_trees_regressor,2400,raw,5,0.6333339425337641,0.03717766933232997,0.44353304029490015,0.6053039109176519
extra_trees_regressor,2400,projected,5,0.6702368919529904,0.0951044355547342,0.37105339983985386,0.4678873736719388
extra_trees_regressor,3350,raw,5,0.6127729814215372,0.026271579873330522,0.4287151916717134,0.6285485572960877
extra_trees_regressor,3350,projected,5,0.6793132726908296,0.07443062886554086,0.36051229889985165,0.45536887767565554
extra_trees_regressor,4300,raw,5,0.6000856154455843,0.012980268443795644,0.4184522566507346,0.6414500335471841
extra_trees_regressor,4300,projected,5,0.6550028568714036,0.05256757298957205,0.35056162422836107,0.5084530818079076
extra_trees_regressor,500,raw,5,0.7109990985639527,0.020385335455958286,0.5120617245597967,0.5057783464221919
extra_trees_regressor,500,projected,5,0.8053695662778353,0.19656189419908462,0.435375062793031,0.371941109385316
extra_trees_regressor,5250,raw,5,0.5917961762980962,0.009581997074767428,0.41153893418809123,0.650782547706531
extra_trees_regressor,5250,projected,5,0.6445957262727857,0.066673273595912,0.34494055221001013,0.5443385667334708
extra_trees_regressor,6200,raw,5,0.5834931491331163,0.012021546774181898,0.4039383757396745,0.6605952210151269
