model_key,sample_size,delta_nRMSE_mean,delta_nRMSE_sd,raw,projected,relative_change_percent
adaboost_regressor,500,0.024049138605915666,0.019246789865726352,0.5496724035628391,0.5737215421687548,4.375176641584193
adaboost_regressor,1450,0.052374100674751456,0.06285328210227543,0.5241734648718134,0.5765475655465648,9.991749713534153
adaboost_regressor,2400,0.062096234607444754,0.07677392494877254,0.5287944446217624,0.5908906792292072,11.742981651757182
adaboost_regressor,3350,0.060638643130395395,0.06666933938176887,0.5253871497561503,0.5860257928865458,11.541706560303176
adaboost_regressor,4300,0.05250063094053281,0.05173100352993366,0.5290336819307262,0.5815343128712589,9.923873041302377
adaboost_regressor,5250,0.05868827486280779,0.050987998944442225,0.5262632964204716,0.5849515712832793,11.1518844772175
adaboost_regressor,6200,0.06132057620146385,0.04718095732246201,0.5248017336599358,0.5861223098613996,11.684522414554118
adaboost_regressor,7150,0.0572808159822308,0.04182863277018372,0.5247675183546912,0.582048334336922,10.915465225786841
adaboost_regressor,8100,0.06264464414297141,0.03655578751533091,0.5244500782080476,0.587094722351019,11.94482501690476
adaboost_regressor,9050,0.06090689489223398,0.034393507283016614,0.5251687061631289,0.5860756010553629,11.59758648553499
adaboost_regressor,10000,0.05614989719967933,0.026889004674717963,0.5250348334195658,0.5811847306192451,10.694508940287555
catboost_regressor,500,0.02526229520454968,0.05826592674794515,0.49264739417382974,0.5179096893783794,5.1278653867467625
catboost_regressor,1450,0.03498937649999208,0.07828630630992396,0.3513948065361606,0.3863841830361527,9.957283331787503
catboost_regressor,2400,0.025583691925356457,0.05818136661668937,0.31833648136859694,0.34392017329395336,8.036682385684053
catboost_regressor,3350,0.01986252553657466,0.04468986822379103,0.2882940325813526,0.30815655811792725,6.889676265140766
catboost_regressor,4300,0.008716595847323838,0.018797211770579237,0.2766263757344628,0.2853429715817867,3.1510356972218165
catboost_regressor,5250,0.010448440793877833,0.025103382512960203,0.26179152356665025,0.27223996436052805,3.9911302900598695
catboost_regressor,6200,0.008836755213264713,0.021938149819238376,0.2562497770102946,0.2650865322235594,3.4484928402141635
catboost_regressor,7150,0.00847298509740999,0.021944507255280275,0.24720113843547614,0.25567412353288616,3.427567183159074
catboost_regressor,8100,-0.0011277451048019305,0.0006046078850994597,0.2378030625997492,0.23667531749494727,-0.47423489524189155
catboost_regressor,9050,0.005893079445227678,0.016875114657358692,0.2324391482923161,0.23833222773754378,2.5353213899306373
catboost_regressor,10000,-0.0012793433604582848,0.0005183040506472409,0.23031517410732033,0.22903583074686207,-0.5554750638627592
extra_trees_regressor,500,0.0943704677138826,0.18389707905619462,0.7109990985639527,0.8053695662778353,13.272937744153014
extra_trees_regressor,1450,0.03776649367658471,0.0828051279646974,0.6535052762526316,0.6912717699292162,5.779064844456581
