model_key,nRMSE_raw,nRMSE_projected,nRMSE_sd_raw,nRMSE_sd_projected,nMAE_raw,nMAE_projected,macro_R2_raw,macro_R2_projected,delta_nRMSE,relative_change_percent,raw_nonnegative_violation_rate,raw_conservation_l2,projected_conservation_l2,standardized_displacement_l2,backtracking_active
xgboost_regressor,0.25401155882932547,0.2545850895068832,0.0056850487077172805,0.0059655775035135595,0.12440242627626312,0.12504692375972545,0.9351481852105079,0.9348772614710746,0.0005735306775577209,0.22578920431848756,0.39720000000000005,1.3770688396595498,4.247420449839334e-14,0.3002643510132572,0.0
lightgbm_regressor,0.2491121475270699,0.2498560988589007,0.00777294997149363,0.0073843321680789106,0.12025315053351475,0.12154274188605936,0.9375472314072166,0.9372003930315055,0.0007439513318308055,0.2986411297947498,0.3895,1.2486611632929228,4.279290857441387e-14,0.3011310011137579,0.0
catboost_regressor,0.23031517410732033,0.22903583074686207,0.005504936373294559,0.0055005278023672775,0.11293531965941213,0.11128072384429791,0.9468738076730139,0.9474677044183052,-0.0012793433604582627,-0.5554750638627592,0.5906,1.0060259587716183,4.2132729569974995e-14,0.24177769433288948,0.0
adaboost_regressor,0.5250348334195658,0.5811847306192451,0.00425433109260738,0.028144888762996936,0.36899799362392205,0.3724168896719558,0.7238981386735274,0.6597030972020491,0.05614989719967933,10.694508940287555,0.0,5.430765722147224,4.173477639445007e-14,0.9008139190536261,0.003
random_forest_regressor,0.718432489967141,0.8131777688776914,0.0049221794325727646,0.019597896675301867,0.49655629647819177,0.4667275228433052,0.4842021353118822,0.3318811327192378,0.0947452789105504,13.187777589914365,0.0,15.62416533402517,4.244620952482197e-14,2.002453677855163,0.0142
extra_trees_regressor,0.5632222090621035,0.6076919246950778,0.005418500840372639,0.025315683803019007,0.3865522599753645,0.32416284026911296,0.6828501277449572,0.6274169939625582,0.044469715632974305,7.895589860887546,0.0,24.133792323422888,4.2199252239762725e-14,1.5277039491290023,0.008799999999999999
svr_regressor,0.36426145463307325,0.3560719660436198,0.011370497382858493,0.011225061080617462,0.19806585760400913,0.1825827190518194,0.8676171747524986,0.8735323054675053,-0.008189488589453453,-2.248244629040661,0.7678,3.275801384272994,4.214211296992084e-14,0.3632740006893152,0.0001
knn_regressor,0.6068283952007949,0.6210342516692499,0.007417594331046362,0.02149926040430153,0.4186374641790508,0.3762115090818149,0.632046045545086,0.6128329649445499,0.014205856468454958,2.3410006157925993,0.0,23.997821382321938,4.218027786335457e-14,1.1916732600155036,0.0025
pls_regressor,0.7211414676567844,0.7450625105705455,0.005823976664477697,0.03072959583861607,0.5220530108088655,0.4411635040217032,0.4801450620114827,0.44562072867482333,0.02392104291376107,3.317108221704136,0.5431,21.337122583167442,4.1939501688969945e-14,1.8076872617112791,0.0093
multitask_elastic_net_regressor,0.5361093457040409,0.51609347119638,0.00789004776350223,0.008275770570846953,0.33822846344539387,0.3100998109083196,0.7128642807617973,0.7340440165241258,-0.020015874507660847,-3.7335432907581896,0.7106,0.1632325093594999,4.170754301362937e-14,0.4816778334532321,0.0
multitask_lasso_regressor,0.5361071320453383,0.5160998206296257,0.007891363231945956,0.008242502538365344,0.3382251738620369,0.310104104434798,0.7128667089995713,0.7340372864109883,-0.02000731141571266,-3.731961434532949,0.7105,0.16679980007105666,4.12768905971217e-14,0.4817452005567759,0.0
ann_deep_regressor,0.15032939644891616,0.14875718644581495,0.01201724521986129,0.012067433411346324,0.07976745216488418,0.07290235077228308,0.9774280062256127,0.9779027923826478,-0.0015722100031012043,-1.045843354819469,0.5858000000000001,3.0390942878151295,4.253937398302299e-14,0.18911010503675513,0.0
